"2146000000ENTERPRISE, AL                                    GSE  S01650000726200092985011239001396800AL031ALABAMA                   COFFEE                 2023010101650002022"
"2252000000FLORENCE-MUSCLE SHOALS, AL                        GSE  S01510000726200092985011239001396800AL033ALABAMA                   COLBERT                2023010101760002019"
9999900000NON-METRO                                         GSE  S01150000726200092985011239001396800AL035ALABAMA                   CONECUH                2023010101150002022
"1076000000ALEXANDER CITY, AL                                GSE  S01490000726200092985011239001396800AL037ALABAMA                   COOSA                  2023010101950002016"
9999900000NON-METRO                                         GSE  S01030000726200092985011239001396800AL039ALABAMA                   COVINGTON              2023010101030002022
9999900000NON-METRO                                         GSE  S01160000726200092985011239001396800AL041ALABAMA                   CRENSHAW               2023010101160002022
"1898000000CULLMAN, AL                                       GSE  S01540000726200092985011239001396800AL043ALABAMA                   CULLMAN                2023010101540002022"
"3712000000OZARK, AL                                         GSE  S01030000726200092985011239001396800AL045ALABAMA                   DALE                   2023010101180002012"
"4282000000SELMA, AL                                         GSE  S00650000726200092985011239001396800AL047ALABAMA                   DALLAS                 2023010100970002010"
"2284000000FORT PAYNE, AL                                    GSE  S00790000726200092985011239001396800AL049ALABAMA                   DEKALB                 2023010101460002019"
"3386000000MONTGOMERY, AL                                    GSE  S01900000726200092985011239001396800AL051ALABAMA                   ELMORE                 2023010101900002022"
"1212000000ATMORE, AL                                        GSE  S02070000726200092985011239001396800AL053ALABAMA                   ESCAMBIA               2023010102070002022"
"2346000000GADSDEN, AL                                       GSE  S01520000726200092985011239001396800AL055ALABAMA                   ETOWAH                 2023010101650002021"
9999900000NON-METRO                                         GSE  S00780000726200092985011239001396800AL057ALABAMA                   FAYETTE                2023010101110002010
9999900000NON-METRO                                         GSE  S00950000726200092985011239001396800AL059ALABAMA                   FRANKLIN               2023010100950002022
"2002000000DOTHAN, AL                                        GSE  S01630000726200092985011239001396800AL061ALABAMA                   GENEVA                 2023010101710002011"
