fha_loans,state_abbr,state,,county_name,median_home_value,gse_type,gse_1,gse_2,gse_3,gse_4," gse_1,gse_2,gse_3,gse_4, ",limit_type,fha_1,fha_2,fha_3,fha_4,"fha_1,fha_2,fha_3,fha_4",
AL-057,AL, ALABAMA ,057,FAYETTE COUNTY,78000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","586500,750800,907550,1127900"
AL-059,AL, ALABAMA ,059,FRANKLIN COUNTY,95000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","523250,669850,809700,1006250"
AL-061,AL, ALABAMA ,061,GENEVA COUNTY,163000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","492200,630100,761650,946550"
AL-063,AL, ALABAMA ,063,GREENE COUNTY,204000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","572700,733150,886200,1101350"
AL-065,AL, ALABAMA ,065,HALE COUNTY,204000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","573850,734650,888000,1103550"
AL-067,AL, ALABAMA ,067,HENRY COUNTY,163000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","701500,898050,1085550,1349050"
AL-069,AL, ALABAMA ,069,HOUSTON COUNTY,163000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","661250,846500,1023250,1271650"
AL-071,AL, ALABAMA ,071,JACKSON COUNTY,148000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","632500,809700,978750,1216350"
AL-073,AL, ALABAMA ,073,JEFFERSON COUNTY,293000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","524400,671300,811450,1008450"
AL-075,AL, ALABAMA ,075,LAMAR COUNTY,352000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","532450,681650,823950,1023950"
