fha_loans,state_abbr,state,,county_name,median_home_value,gse_type,gse_1,gse_2,gse_3,gse_4," gse_1,gse_2,gse_3,gse_4, ",limit_type,fha_1,fha_2,fha_3,fha_4,"fha_1,fha_2,fha_3,fha_4",
IA-175,IA, IOWA ,175,UNION COUNTY,89000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IA-177,IA, IOWA ,177,VAN BUREN COUNTY,75000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IA-179,IA, IOWA ,179,WAPELLO COUNTY,75000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IA-181,IA, IOWA ,181,WARREN COUNTY,326000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IA-183,IA, IOWA ,183,WASHINGTON COUNTY,290000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IA-185,IA, IOWA ,185,WAYNE COUNTY,74000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IA-187,IA, IOWA ,187,WEBSTER COUNTY,100000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IA-189,IA, IOWA ,189,WINNEBAGO COUNTY,105000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IA-191,IA, IOWA ,191,WINNESHIEK COUNTY,183000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IA-193,IA, IOWA ,193,WOODBURY COUNTY,280000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IA-195,IA, IOWA ,195,WORTH COUNTY,136000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IA-197,IA, IOWA ,197,WRIGHT COUNTY,80000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-001,ID, IDAHO ,001,ADA COUNTY,510000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", H ,586500,750800,907550,1127900,"586500,750800,907550,1127900",
ID-003,ID, IDAHO ,003,ADAMS COUNTY,260000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-005,ID, IDAHO ,005,BANNOCK COUNTY,315000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-007,ID, IDAHO ,007,BEAR LAKE COUNTY,308000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-009,ID, IDAHO ,009,BENEWAH COUNTY,236000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-011,ID, IDAHO ,011,BINGHAM COUNTY,316000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-015,ID, IDAHO ,015,BOISE COUNTY,510000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", H ,586500,750800,907550,1127900,"586500,750800,907550,1127900",
ID-017,ID, IDAHO ,017,BONNER COUNTY,455000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", H ,523250,669850,809700,1006250,"523250,669850,809700,1006250",
ID-019,ID, IDAHO ,019,BONNEVILLE COUNTY,396000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-021,ID, IDAHO ,021,BOUNDARY COUNTY,365000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-023,ID, IDAHO ,023,BUTTE COUNTY,396000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-027,ID, IDAHO ,027,CANYON COUNTY,510000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", H ,586500,750800,907550,1127900,"586500,750800,907550,1127900",
ID-029,ID, IDAHO ,029,CARIBOU COUNTY,255000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-031,ID, IDAHO ,031,CASSIA COUNTY,280000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-033,ID, IDAHO ,033,CLARK COUNTY,250000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-035,ID, IDAHO ,035,CLEARWATER COUNTY,224000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-037,ID, IDAHO ,037,CUSTER COUNTY,235000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-039,ID, IDAHO ,039,ELMORE COUNTY,326000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-041,ID, IDAHO ,041,FRANKLIN COUNTY,428000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", H ,492200,630100,761650,946550,"492200,630100,761650,946550",
ID-043,ID, IDAHO ,043,FREMONT COUNTY,375000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-045,ID, IDAHO ,045,GEM COUNTY,510000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", H ,586500,750800,907550,1127900,"586500,750800,907550,1127900",
ID-047,ID, IDAHO ,047,GOODING COUNTY,265000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-049,ID, IDAHO ,049,IDAHO COUNTY,224000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-051,ID, IDAHO ,051,JEFFERSON COUNTY,396000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-053,ID, IDAHO ,053,JEROME COUNTY,332000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-055,ID, IDAHO ,055,KOOTENAI COUNTY,498000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", H ,572700,733150,886200,1101350,"572700,733150,886200,1101350",
ID-057,ID, IDAHO ,057,LATAH COUNTY,380000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-059,ID, IDAHO ,059,LEMHI COUNTY,286000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-061,ID, IDAHO ,061,LEWIS COUNTY,231000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-063,ID, IDAHO ,063,LINCOLN COUNTY,254000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-065,ID, IDAHO ,065,MADISON COUNTY,375000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-067,ID, IDAHO ,067,MINIDOKA COUNTY,280000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-069,ID, IDAHO ,069,NEZ PERCE COUNTY,310000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-071,ID, IDAHO ,071,ONEIDA COUNTY,286000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-073,ID, IDAHO ,073,OWYHEE COUNTY,510000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", H ,586500,750800,907550,1127900,"586500,750800,907550,1127900",
ID-075,ID, IDAHO ,075,PAYETTE COUNTY,350000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-077,ID, IDAHO ,077,POWER COUNTY,315000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-079,ID, IDAHO ,079,SHOSHONE COUNTY,265000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-083,ID, IDAHO ,083,TWIN FALLS COUNTY,332000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
ID-085,ID, IDAHO ,085,VALLEY COUNTY,499000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", H ,573850,734650,888000,1103550,"573850,734650,888000,1103550",
ID-087,ID, IDAHO ,087,WASHINGTON COUNTY,264000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-001,IL, ILLINOIS ,001,ADAMS COUNTY,134000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-003,IL, ILLINOIS ,003,ALEXANDER COUNTY,200000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-005,IL, ILLINOIS ,005,BOND COUNTY,330000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-007,IL, ILLINOIS ,007,BOONE COUNTY,190000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-009,IL, ILLINOIS ,009,BROWN COUNTY,80000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-011,IL, ILLINOIS ,011,BUREAU COUNTY,286000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-013,IL, ILLINOIS ,013,CALHOUN COUNTY,330000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-015,IL, ILLINOIS ,015,CARROLL COUNTY,85000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-017,IL, ILLINOIS ,017,CASS COUNTY,102000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-019,IL, ILLINOIS ,019,CHAMPAIGN COUNTY,190000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-021,IL, ILLINOIS ,021,CHRISTIAN COUNTY,85000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-023,IL, ILLINOIS ,023,CLARK COUNTY,97000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-025,IL, ILLINOIS ,025,CLAY COUNTY,76000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-027,IL, ILLINOIS ,027,CLINTON COUNTY,330000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-029,IL, ILLINOIS ,029,COLES COUNTY,129000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-031,IL, ILLINOIS ,031,COOK COUNTY,386000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-033,IL, ILLINOIS ,033,CRAWFORD COUNTY,75000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-035,IL, ILLINOIS ,035,CUMBERLAND COUNTY,129000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-037,IL, ILLINOIS ,037,DEKALB COUNTY,386000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-039,IL, ILLINOIS ,039,DE WITT COUNTY,98000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-041,IL, ILLINOIS ,041,DOUGLAS COUNTY,151000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-043,IL, ILLINOIS ,043,DUPAGE COUNTY,386000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-045,IL, ILLINOIS ,045,EDGAR COUNTY,104000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-047,IL, ILLINOIS ,047,EDWARDS COUNTY,43000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-049,IL, ILLINOIS ,049,EFFINGHAM COUNTY,120000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-051,IL, ILLINOIS ,051,FAYETTE COUNTY,70000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-053,IL, ILLINOIS ,053,FORD COUNTY,96000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-055,IL, ILLINOIS ,055,FRANKLIN COUNTY,96000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-057,IL, ILLINOIS ,057,FULTON COUNTY,140000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-059,IL, ILLINOIS ,059,GALLATIN COUNTY,36000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-061,IL, ILLINOIS ,061,GREENE COUNTY,104000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-063,IL, ILLINOIS ,063,GRUNDY COUNTY,386000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-065,IL, ILLINOIS ,065,HAMILTON COUNTY,48000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-067,IL, ILLINOIS ,067,HANCOCK COUNTY,112000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-069,IL, ILLINOIS ,069,HARDIN COUNTY,37000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-071,IL, ILLINOIS ,071,HENDERSON COUNTY,189000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-073,IL, ILLINOIS ,073,HENRY COUNTY,194000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-075,IL, ILLINOIS ,075,IROQUOIS COUNTY,90000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-077,IL, ILLINOIS ,077,JACKSON COUNTY,115000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-079,IL, ILLINOIS ,079,JASPER COUNTY,75000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-081,IL, ILLINOIS ,081,JEFFERSON COUNTY,90000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-083,IL, ILLINOIS ,083,JERSEY COUNTY,330000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-085,IL, ILLINOIS ,085,JO DAVIESS COUNTY,187000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-087,IL, ILLINOIS ,087,JOHNSON COUNTY,115000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-089,IL, ILLINOIS ,089,KANE COUNTY,386000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-091,IL, ILLINOIS ,091,KANKAKEE COUNTY,135000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-093,IL, ILLINOIS ,093,KENDALL COUNTY,386000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-095,IL, ILLINOIS ,095,KNOX COUNTY,90000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-097,IL, ILLINOIS ,097,LAKE COUNTY,386000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-099,IL, ILLINOIS ,099,LASALLE COUNTY,286000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-101,IL, ILLINOIS ,101,LAWRENCE COUNTY,66000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-103,IL, ILLINOIS ,103,LEE COUNTY,112000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-105,IL, ILLINOIS ,105,LIVINGSTON COUNTY,114000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-107,IL, ILLINOIS ,107,LOGAN COUNTY,109000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-109,IL, ILLINOIS ,109,MCDONOUGH COUNTY,75000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-111,IL, ILLINOIS ,111,MCHENRY COUNTY,386000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-113,IL, ILLINOIS ,113,MCLEAN COUNTY,181000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-115,IL, ILLINOIS ,115,MACON COUNTY,105000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-117,IL, ILLINOIS ,117,MACOUPIN COUNTY,330000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-119,IL, ILLINOIS ,119,MADISON COUNTY,330000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-121,IL, ILLINOIS ,121,MARION COUNTY,75000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-123,IL, ILLINOIS ,123,MARSHALL COUNTY,140000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-125,IL, ILLINOIS ,125,MASON COUNTY,65000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-127,IL, ILLINOIS ,127,MASSAC COUNTY,155000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-129,IL, ILLINOIS ,129,MENARD COUNTY,142000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-131,IL, ILLINOIS ,131,MERCER COUNTY,194000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-133,IL, ILLINOIS ,133,MONROE COUNTY,330000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-135,IL, ILLINOIS ,135,MONTGOMERY COUNTY,82000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-137,IL, ILLINOIS ,137,MORGAN COUNTY,100000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-139,IL, ILLINOIS ,139,MOULTRIE COUNTY,94000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-141,IL, ILLINOIS ,141,OGLE COUNTY,150000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-143,IL, ILLINOIS ,143,PEORIA COUNTY,140000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-145,IL, ILLINOIS ,145,PERRY COUNTY,83000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-147,IL, ILLINOIS ,147,PIATT COUNTY,190000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-149,IL, ILLINOIS ,149,PIKE COUNTY,105000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-151,IL, ILLINOIS ,151,POPE COUNTY,35000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-153,IL, ILLINOIS ,153,PULASKI COUNTY,77000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-155,IL, ILLINOIS ,155,PUTNAM COUNTY,286000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-157,IL, ILLINOIS ,157,RANDOLPH COUNTY,93000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-159,IL, ILLINOIS ,159,RICHLAND COUNTY,111000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-161,IL, ILLINOIS ,161,ROCK ISLAND COUNTY,194000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-163,IL, ILLINOIS ,163,ST. CLAIR COUNTY,330000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-165,IL, ILLINOIS ,165,SALINE COUNTY,60000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-167,IL, ILLINOIS ,167,SANGAMON COUNTY,142000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-169,IL, ILLINOIS ,169,SCHUYLER COUNTY,68000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-171,IL, ILLINOIS ,171,SCOTT COUNTY,100000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-173,IL, ILLINOIS ,173,SHELBY COUNTY,90000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-175,IL, ILLINOIS ,175,STARK COUNTY,140000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-177,IL, ILLINOIS ,177,STEPHENSON COUNTY,89000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-179,IL, ILLINOIS ,179,TAZEWELL COUNTY,140000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-181,IL, ILLINOIS ,181,UNION COUNTY,138000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-183,IL, ILLINOIS ,183,VERMILION COUNTY,74000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-185,IL, ILLINOIS ,185,WABASH COUNTY,101000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-187,IL, ILLINOIS ,187,WARREN COUNTY,89000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
IL-189,IL, ILLINOIS ,189,WASHINGTON COUNTY,116000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
